ISO;Score;Rank;Political Context;Rank_Pol;Economic Context;Rank_Eco;Legal Context;Rank_Leg;Social Context;Rank_Soc;Safety;Rank_Saf;Zone;Country_EN;Country_FR;Country_ES;Country_AR;Country_FA;Year (N);Rank N-1;Rank evolution
DOM;76,9;30;71,52;40;62,24;34;85,96;11;92;6;72,79;71;Amériques;Dominican Republic;République dominicaine;República Dominicana;جمهورية الدومينيكان;جمهوری دومینیک;2022;50;20

AUT;76,74;31;77,82;26;61,43;37;78,95;41;81,2;46;84,29;31;Europe - Asie centrale;Austria;Autriche;Austria;النمسا;اتریش;2022;17;-14

ESP;76,71;32;72,73;38;63,38;31;82,16;25;81,89;39;83,4;35;Europe - Asie centrale;Spain;Espagne;España;إسبانيا;اسپانیا;2022;29;-3

BTN;76,46;33;78,79;25;62,24;34;70,39;67;77;60;93,88;4;Asie-Pacifique;Bhutan;Bhoutan;Bután;بوتان;بوتان;2022;65;32

GUY;76,41;34;70,06;46;67,76;25;75,61;51;81,4;43;87,21;24;Amériques;Guyana;Guyana;Guyana;غويانا;گیانا;2022;51;17

ZAF;75,56;35;75,96;29;62,59;33;84,36;17;82,5;37;72,39;74;Afrique;South Africa;Afrique du Sud;Sudáfrica;جنوب أفريقيا;آفریقای جنوبی;2022;32;-3

CPV;75,37;36;72,55;39;62,76;32;77,98;44;75,4;68;88,16;19;Afrique;Cape Verde;Cap-Vert;Cabo Verde;الرأس الأخضر;کیپورد;2022;27;-9

CIV;74,46;37;74,89;31;58,45;39;75,94;50;81,43;41;81,6;41;Afrique;Ivory Coast;Côte d'Ivoire;Costa de Marfil;ساحل العاج;ساحل عاج;2022;66;29

TWN;74,08;38;74,78;33;51,88;49;79,01;40;77,69;57;87,02;25;Asie-Pacifique;Taiwan;Taïwan;Taiwán;تايوان;تایوان;2022;43;5

AUS;73,77;39;77,17;27;63,44;30;64,18;96;84,17;33;79,88;48;Asie-Pacifique;Australia;Australie;Australia;أستراليا;استرالیا;2022;25;-14

MDA;73,47;40;70,15;45;47,83;63;83;21;85,88;28;80,48;44;Europe - Asie centrale;Moldova;Moldavie;Moldavia;مولدوفا;مولداوی;2022;89;49

BFA;73,12;41;78,99;23;67,69;26;75,58;52;87,83;22;55,52;113;Afrique;Burkina Faso;Burkina Faso;Burkina Faso;بوركينا فاسو;بورکینافاسو;2022;37;-4

USA;72,74;42;72,99;36;59,33;38;77,32;46;81,43;41;72,63;72;Amériques;United States;États-Unis;Estados Unidos;الولايات المتحدة;ایالات متحده امریکا;2022;44;2

KOR;72,11;43;71,15;42;55,31;43;72,81;61;79,8;51;81,5;42;Asie-Pacifique;South Korea;Corée du Sud;Corea del Sur;كوريا الجنوبية;کره جنوبی;2022;42;-1

URY;72,03;44;70,3;44;49,32;58;83,63;20;72,33;78;84,58;30;Amériques;Uruguay;Uruguay;Uruguay;أوروغواي;اروگويه;2022;18;-26

WSM;71,39;45;61,82;67;56,12;41;64,91;92;85;30;89,12;16;Asie-Pacifique;Samoa;Samoa;Samoa;ساموا;ساموآ;2022;21;-24

SLE;71,03;46;73,71;35;50,38;55;78,4;42;77,5;58;75,14;58;Afrique;Sierra Leone;Sierra Leone;Sierra Leona;سيراليون;سئیرالئون;2022;75;29

BLZ;70,67;47;70;47;52,04;48;63,6;100;82;38;85,71;28;Amériques;Belize;Bélize;Belice;بليز;بلیز;2022;53;6

HRV;70,42;48;68,26;49;50,46;53;79,19;38;76,09;64;78,08;52;Europe - Asie centrale;Croatia;Croatie;Croacia;كرواتيا;کرواسی;2022;56;8

TON;69,74;49;69,7;48;53,06;47;66,67;86;69,5;87;89,8;15;Asie-Pacifique;Tonga;Tonga;Tonga;تونغا;تونگا;2022;46;-3

GMB;69,25;50;71,11;43;51,36;51;67,69;81;81,33;44;74,74;64;Afrique;Gambia;Gambie;Gambia;غامبيا;گامبیا;2022;85;35

ARM;68,97;51;66,26;55;44,44;81;77,88;45;76,33;63;79,91;47;Europe - Asie centrale;Armenia;Arménie;Armenia;أرمينيا;ارمنستان;2022;63;12

SUR;68,95;52;67,88;51;55,1;44;62,28;102;84;34;75,51;57;Amériques;Suriname;Suriname;Surinam;سورينام;سورینام;2022;19;-33

AND;68,79;53;68,12;50;50,41;54;69,12;71;68,8;91;87,48;22;Europe - Asie centrale;Andorra;Andorre;Andorra;أندورا;آندور;2022;39;-14

SVN;68,54;54;59,32;78;47,7;65;79,11;39;79,94;50;76,61;56;Europe - Asie centrale;Slovenia;Slovénie;Eslovenia;سلوفينيا;اسلوانی;2022;36;-18

XCD;68,49;55;62,91;61;48,37;62;68,25;78;79,8;51;83,13;36;Amériques;OECS;OECS;OECS;الكاريبي;جزایر کارائیب شرقی;2022;45;-10

ROU;68,46;56;66,77;53;46,77;72;76,46;49;81,67;40;70,63;79;Europe - Asie centrale;Romania;Roumanie;Rumania;رومانيا;رومانی;2022;48;-8

MKD;68,44;57;66,16;56;43,71;83;81,29;28;73,17;74;77,85;53;Europe - Asie centrale;North Macedonia;Macédoine du Nord;República de Macedonia del Norte;مقدونيا الشمالية;مقدونیه شمالی;2022;90;33

ITA;68,16;58;65,89;57;47,52;67;73,93;59;80;49;73,48;68;Europe - Asie centrale;Italy;Italie;Italia;إيطاليا;ایتالیا;2022;41;-17

NER;67,8;59;62,3;65;46,73;73;71,75;64;76,5;61;81,69;40;Afrique;Niger;Niger;Niger;النيجر;نیجر;2022;59;0

GHA;67,43;60;66,61;54;47,22;69;81,42;27;79,64;53;62,25;101;Afrique;Ghana;Ghana;Ghana;غانا;غنا;2022;30;-30

XKO;67;61;64,34;60;45,24;77;80,85;31;74,33;70;70,26;81;Europe - Asie centrale;Kosovo;Kosovo;Kosovo;كوسوفو;کوسووو;2022;78;17

PNG;66,66;62;62,42;63;45,24;77;66,08;89;81,33;44;78,23;51;Asie-Pacifique;Papua New Guinea;Papouasie-Nouvelle-Guinée;Papúa Nueva Guinea;بابوا غينيا الجديدة;پاپوآ گینه نو;2022;47;-15

MNE;66,54;63;62,51;62;47,67;66;77,19;47;71;80;74,33;65;Europe - Asie centrale;Montenegro;Monténégro;Montenegro;الجبل الأسود;مونته‌نگرو;2022;104;41

MUS;66,07;64;55,58;91;47,81;64;64,16;97;80,29;48;82,5;38;Afrique;Mauritius;Maurice;Mauricio;موريشيوس;موریس;2022;61;-3

CYP;65,97;65;61,21;70;42,09;91;74,56;56;65,75;101;86,25;26;Europe - Asie centrale;Cyprus;Chypre;Chipre;قبرص;قبرس;2022;26;-39

POL;65,64;66;50,95;110;57,41;40;68,95;72;82,53;36;68,33;86;Europe - Asie centrale;Poland;Pologne;Polonia;بولندا;لهستان;2022;64;-2

BIH;65,64;67;61,56;69;40,23;101;79,57;35;71,86;79;74,95;61;Europe - Asie centrale;Bosnia and Herzegovina;Bosnie-Herzégovine;Bosnia-Herzegovina;البوسنة والهرسك;بوسنی هرزوگوین;2022;58;-9

ECU;64,61;68;60,1;73;55,44;42;67,98;79;69,5;87;70,03;82;Amériques;Ecuador;Équateur;Ecuador;الإكوادور;اکواتور;2022;96;28

KEN;64,59;69;62,42;63;46,33;75;72,28;62;78;55;63,92;96;Afrique;Kenya;Kenya;Kenia;كينيا;کنیا;2022;102;33

HTI;64,55;70;59,6;77;50,34;56;72,22;63;80,67;47;59,91;106;Amériques;Haiti;Haïti;Haití;هايتي;هايیتی;2022;87;17

JPN;64,37;71;54,66;96;53,7;46;66,23;88;67,06;96;80,19;45;Asie-Pacifique;Japan;Japon;Japón;اليابان;ژاپن;2022;67;-4

KGZ;64,25;72;59,9;74;48,64;60;68,86;73;69;90;74,83;63;Europe - Asie centrale;Kyrgyzstan;Kirghizstan;Kirguistán;قرغيزستان;قرقیزستان;2022;79;7

SEN;63,07;73;59,31;79;42,13;90;66,67;86;72,43;76;74,84;62;Afrique;Senegal;Sénégal;Senegal;السنغال;سنگال;2022;49;-24

PAN;62,78;74;54,24;98;47,45;68;64,04;98;74;72;74,15;67;Amériques;Panama;Panama;Panamá;بنما;پاناما;2022;77;3

LBR;62,77;75;55,5;92;32,8;135;74,69;55;82,57;35;68,3;87;Afrique;Liberia;Liberia;Liberia;ليبيريا;لیبریا;2022;98;23

NPL;62,67;76;59,8;75;40,14;102;66,08;89;77,33;59;69,99;83;Asie-Pacifique;Nepal;Népal;Nepal;نيبال;نپال;2022;106;30

PER;61,75;77;66,97;52;41,84;92;70,61;66;63;110;66,35;92;Amériques;Peru;Pérou;Peru;بيرو;پرو;2022;91;14

MLT;61,55;78;46,82;121;41,33;96;67,98;79;74,75;69;76,87;55;Europe - Asie centrale;Malta;Malte;Malta;مالطا;مالت;2022;81;3

SRB;61,51;79;47,47;118;34,92;129;79,92;34;74,22;71;71,03;78;Europe - Asie centrale;Serbia;Serbie;Serbia;صربيا;صربستان;2022;93;14

MWI;61,4;80;55,76;90;38,44;110;78,07;43;67,67;93;67,08;89;Afrique;Malawi;Malawi;Malaui;مالاوي;مالاوی;2022;62;-18

CTU;61,08;81;56,48;87;38,78;108;69,82;68;60,2;120;80,14;46;Europe - Asie centrale;Cyprus North;Chypre (partie Nord);Chipre Norte;قبرص (الجزء الشمالي);قبرس (شمالی);2022;76;-5

CHL;60,61;82;65,03;59;42,86;86;67,63;82;72,4;77;55,15;115;Amériques;Chile;Chili;Chile;تشيلي;شیلی;2022;54;-28

COM;60,16;83;56,36;88;50,26;57;59,98;112;75,63;66;58,56;109;Afrique;Comoros;Comores;Comoras;جزر القمر;کومور;2022;84;1

GIN;59,82;84;59,26;80;47,05;70;71,15;65;70,67;81;50,96;122;Afrique;Guinea;Guinée;Guinea;غينيا;گینه;2022;109;25

HUN;59,8;85;47,07;119;32,31;141;67,25;83;67,33;95;85,03;29;Europe - Asie centrale;Hungary;Hongrie;Hungría;المجر;مجارستان;2022;92;7

ISR;59,62;86;65,15;58;55,1;44;53,51;130;77,75;56;46,61;126;Maghreb - Moyen-Orient;Israel;Israël;Israel;إسرائيل;اسرائیل;2022;86;0

MDV;59,55;87;62,27;66;38,27;111;67,11;85;55;134;75,12;59;Asie-Pacifique;Maldives;Maldives;Maldivas;المالديف;مالدیو;2022;72;-15

LSO;59,39;88;57,37;85;40,14;102;57,31;119;74;72;68,11;88;Afrique;Lesotho;Lesotho;Lesoto;ليسوتو;لسو‌تو;2022;88;0

GEO;59,3;89;52,42;102;46,43;74;80,79;32;75,5;67;41,34;135;Europe - Asie centrale;Georgia;Géorgie;Georgia;جورجيا;گرجستان;2022;60;-29

MNG;59,17;90;55,48;93;36,18;121;60,37;110;69,55;86;74,27;66;Asie-Pacifique;Mongolia;Mongolie;Mongolia;منغوليا;مغولستان;2022;68;-22

BGR;59,12;91;54,95;95;30,1;150;68,71;76;66,83;97;75,02;60;Europe - Asie centrale;Bulgaria;Bulgarie;Bulgaria;بلغاريا;بلغارستان;2022;112;21

GNB;58,79;92;51,15;108;50,82;52;68,42;77;62,4;113;61,18;104;Afrique;Guinea-Bissau;Guinée-Bissau;Guinea-Bisáu;غينيا بيساو;گینه بیسائو;2022;95;3

COG;58,64;93;58,06;83;48,57;61;64,21;95;62,6;112;59,76;108;Afrique;Congo;Congo;República del Congo;الكونغو;کنگو;2022;118;25

TUN;58,49;94;61,82;67;41,84;92;67,19;84;70,2;82;51,42;121;Maghreb - Moyen-Orient;Tunisia;Tunisie;Túnez;تونس;تونس;2022;73;-21

BWA;58,49;95;56,97;86;37,24;116;56,36;122;69,75;85;72,11;75;Afrique;Botswana;Botswana;Botsuana;بوتسوانا;بوستاوانا;2022;38;-57

PRY;58,36;96;54,24;98;31,12;147;75,44;53;65;104;65,99;93;Amériques;Paraguay;Paraguay;Paraguay;باراغواي;پاراگوئه;2022;100;4

MRT;58,1;97;55,15;94;35,13;125;64,29;94;64,29;106;71,67;76;Afrique;Mauritania;Mauritanie;Mauritania;موريتانيا;موریتانی;2022;94;-3

MDG;58,02;98;52,58;101;35,08;126;64,47;93;64,5;105;73,47;69;Afrique;Madagascar;Madagascar;Madagascar;مدغشقر;ماداگاسکار;2022;57;-41

AGO;57,17;99;52,83;100;35,03;127;61,11;106;73;75;63,87;97;Afrique;Angola;Angola;Angola;أنغولا;آنگولا;2022;103;4

TGO;57,17;100;57,52;84;41,73;94;61,93;104;69,5;87;55,15;116;Afrique;Togo;Togo;Togo;توغو;توگو;2022;74;-26

CAF;56,96;101;51,21;107;41,07;99;62,06;103;68,25;92;62,19;102;Afrique;Central African Republic;République centrafricaine;República Centroafricana;جمهورية أفريقيا الوسطى;جمهوری آفریقای مرکزی;2022;126;25

FJI;56,91;102;44,85;128;39,8;104;58,33;115;64;107;77,55;54;Asie-Pacifique;Fiji;Fidji;Fiyi;فيجي;فیجی;2022;55;-47

ALB;56,41;103;50,55;113;29,39;154;68,77;75;66,6;98;66,75;90;Europe - Asie centrale;Albania;Albanie;Albania;ألبانيا;آلبانی;2022;83;-20

TCD;56,18;104;55,88;89;43,27;85;60,35;111;63,2;109;58,21;110;Afrique;Chad;Tchad;Chad;تشاد;چاد;2022;123;19

GAB;56;105;48,38;115;39,46;106;56,14;123;65,5;102;70,52;80;Afrique;Gabon;Gabon;República Gabonesa;الغابون;گابون;2022;117;12

UKR;55,76;106;61,21;70;42,86;86;79,45;36;76,43;62;18,84;165;Europe - Asie centrale;Ukraine;Ukraine;Ucrania;أوكرانيا;اوکراين;2022;97;-9

BDI;55,74;107;50,03;114;44,67;80;59,55;113;52,78;139;71,66;77;Afrique;Burundi;Burundi;Burundi;بوروندي;بروندی;2022;147;40

GRC;55,52;108;60,5;72;38,13;113;69,54;70;65,36;103;44,1;128;Europe - Asie centrale;Greece;Grèce;Grecia;اليونان;یونان;2022;70;-38

ZMB;55,4;109;52,35;103;37,76;114;58,33;115;64;107;64,55;94;Afrique;Zambia;Zambie;Zambia;زامبيا;زامبیا;2022;115;6

BRA;55,36;110;51,62;105;37,59;115;69,74;69;70;83;47,86;124;Amériques;Brazil;Brésil;Brasil;البرازيل;برزیل;2022;111;1

MLI;54,48;111;35,15;161;42,6;88;74,34;58;78,5;54;41,81;133;Afrique;Mali;Mali;Malí;مالي;مالی;2022;99;-12

SLV;54,09;112;42,94;137;39,07;107;63,22;101;62,86;111;62,37;100;Amériques;El Salvador;El Salvador;El Salvador;السلفادور;ال‌سالوادور;2022;82;-30

MYS;51,55;113;46,52;122;42,6;88;40,13;155;56;128;72,48;73;Asie-Pacifique;Malaysia;Malaisie;Malasia;ماليزيا;مالزی;2022;119;6

ETH;50,53;114;50,65;112;45,77;76;63,66;99;57,29;126;35,29;144;Afrique;Ethiopia;Éthiopie;Etiopía;أثيوبيا;اتیوپی;2022;101;-13

THA;50,15;115;58,99;81;45,24;77;47,37;142;53,67;137;45,5;127;Asie-Pacifique;Thailand;Thaïlande;Tailandia;تايلاند;تایلند;2022;137;22

MOZ;49,89;116;46,06;123;40,31;100;61,62;105;47,25;153;54,21;118;Afrique;Mozambique;Mozambique;Mozambique;موزمبيق;موزامبیک;2022;108;-8

IDN;49,27;117;45,91;125;41,33;96;55,7;125;66;99;37,42;139;Asie-Pacifique;Indonesia;Indonésie;Indonesia;أندونيسيا;اندونزی;2022;113;-4

CMR;49,1;118;48,05;116;35,71;123;56,89;121;67,57;94;37,25;140;Afrique;Cameroon;Cameroun;Camerún;الكاميرون;کامرون;2022;135;17

QAT;49,03;119;59,7;76;46,94;71;43,86;149;42,5;162;52,17;120;Maghreb - Moyen-Orient;Qatar;Qatar;Catar;قطر;قطر;2022;128;9

JOR;48,66;120;40;151;32,65;136;41,23;154;66;99;63,4;99;Maghreb - Moyen-Orient;Jordan;Jordanie;Jordania;الأردن;اردن;2022;129;9

BEN;48,39;121;47,73;117;28,19;158;57,46;118;55,5;132;53,1;119;Afrique;Benin;Bénin;Benín;بنين;بنین;2022;114;-7

KAZ;48,28;122;43,52;136;29,8;153;51,93;135;52,3;140;63,85;98;Europe - Asie centrale;Kazakhstan;Kazakhstan;Kazajistán;كازاخستان;قزاقستان;2022;155;33

TZA;48,28;123;43,88;135;32,65;136;45,09;143;59,2;122;60,56;105;Afrique;Tanzania;Tanzanie;Tanzania;تنزانيا;تانزانیا;2022;124;1

GTM;47,94;124;46,06;123;33,67;132;68,86;73;59;123;32,12;150;Amériques;Guatemala;Guatemala;Guatemala;غواتيمالا;گواتمالا;2022;116;-8

COD;47,66;125;51,33;106;41,43;95;60,88;108;60,3;119;24,34;161;Afrique;The Democratic Republic Of The Congo;RD Congo;RD Congo;جمهورية الكونغو الديمقراطية;جمهوری دمکراتیک کنگو;2022;149;24

BOL;47,58;126;44,55;133;33,67;132;58,77;114;45;155;55,89;112;Amériques;Bolivia;Bolivie;Bolivia;بوليفيا;بلیوی;2022;110;-16

MEX;47,57;127;58,18;82;43,37;84;65,79;91;59,5;121;11,02;179;Amériques;Mexico;Mexique;México;المكسيك;مکزیک;2022;143;16

SSD;47,06;128;40,48;148;36,73;118;52,11;134;50,6;143;55,37;114;Afrique;South Sudan;Soudan du Sud;Sudán del Sur;جمهورية جنوب السودان;سودان جنوبی;2022;139;11

NGA;46,79;129;45,15;127;36,39;120;53,8;129;69,83;84;28,75;154;Afrique;Nigeria;Nigeria;Nigeria;نيجيريا;نیجریه;2022;120;-9

LBN;46,58;130;50,91;111;38,27;111;50,22;137;60,5;117;33,02;148;Maghreb - Moyen-Orient;Lebanon;Liban;Líbano;لبنان;لبنان;2022;107;-23

SWZ;46,42;131;41,31;142;35,03;127;43,86;149;50,5;144;61,4;103;Afrique;Eswatini;Eswatini;Esuatini;إسواتيني;اسواتینی;2022;141;10

UGA;46,35;132;44,7;130;36,99;117;60,96;107;56;128;33,09;147;Afrique;Uganda;Ouganda;Uganda;أوغندا;اوگاندا;2022;125;-7

UZB;45,74;133;44,75;129;35,71;123;50,88;136;53,33;138;44,03;129;Europe - Asie centrale;Uzbekistan;Ouzbékistan;Uzbekistán;أوزبكستان;اوزبکستان;2022;157;24

DZA;45,53;134;41,21;143;32,4;139;54,17;127;55,88;131;44,02;130;Maghreb - Moyen-Orient;Algeria;Algérie;Argelia;الجزائر;الجزایر;2022;146;12

MAR;45,42;135;51,67;104;28,83;157;55,81;124;56;128;34,82;146;Maghreb - Moyen-Orient;Morocco;Maroc;Marruecos;المغرب;مراکش;2022;136;1

RWA;45,18;136;42,12;140;31,89;144;57,89;117;55,25;133;38,76;137;Afrique;Rwanda;Rwanda;Ruanda;رواندا;روندا;2022;156;20

ZWE;44,94;137;40,3;150;32,4;139;54,17;127;54,5;136;43,34;131;Afrique;Zimbabwe;Zimbabwe;Zimbabue;زيمبابوي;زیمبابوه;2022;130;-7

ARE;44,46;138;45,45;126;36,73;118;32,02;165;50,5;144;57,59;111;Maghreb - Moyen-Orient;United Arab Emirates;Émirats arabes unis;Emiratos Árabes Unidos;الإمارات العربية المتحدة;امارات متحده عربی;2022;131;-7

SGP;44,23;139;39,09;153;29,21;156;34,21;163;49,25;148;69,39;84;Asie-Pacifique;Singapore;Singapour;Singapur;سنغافورة;سنگاپور;2022;160;21

SOM;44,01;140;51,03;109;41,22;98;47,72;141;61,8;116;18,27;167;Afrique;Somalia;Somalie;Somalia;الصومال;سومالی;2022;161;21

GNQ;43,96;141;42,73;138;24,49;165;44,3;147;44,25;158;64,04;95;Afrique;Equatorial Guinea;Guinée équatoriale;Guinea Ecuatorial;غينيا الاستوائية;گینه اکوادور;2022;164;23

KHM;43,48;142;42,42;139;27,96;159;49,65;138;62,4;113;34,96;145;Asie-Pacifique;Cambodia;Cambodge;Camboya;كمبوديا;کامبوج;2022;144;2

LBY;43,16;143;54,42;97;34,9;130;44,91;144;45;155;36,58;141;Maghreb - Moyen-Orient;Libya;Libye;Libia;ليبيا;لیبی;2022;165;22

BRN;42,53;144;40,61;146;30,61;148;28,51;171;34;171;78,91;50;Asie-Pacifique;Brunei Darussalam;Brunei;Brunéi;بروناي;برونی;2022;154;10

COL;42,43;145;44,7;130;32,27;142;60,42;109;50,38;146;24,4;160;Amériques;Colombia;Colombie;Colombia;كولومبيا;کلمبیا;2022;134;-11

LKA;42,13;146;40,91;144;27,04;163;53,07;132;48,25;150;41,37;134;Asie-Pacifique;Sri Lanka;Sri Lanka;Sri Lanka;سري لانكا;سریلانکا;2022;127;-19

PHL;41,84;147;44,44;134;23,13;169;54,97;126;61,83;115;24,83;159;Asie-Pacifique;Philippines;Philippines;Filipinas;الفلبين;فلیپین;2022;138;-9

HKG;41,64;148;40,5;147;35,9;122;42,58;151;57,45;125;31,78;151;Asie-Pacifique;Hong Kong;Hong-Kong;Hong Kong;هونغ كونغ;هنگ کنگ;2022;80;-68

TUR;41,25;149;38,38;154;27,55;161;52,92;133;55;134;32,37;149;Europe - Asie centrale;Turkey;Turquie;Turquía;تركيا;ترکیه;2022;153;4

IND;41;150;40,76;145;30,36;149;57,02;120;56,25;127;20,61;163;Asie-Pacifique;India;Inde;India;الهند;هند;2022;142;-8

SDN;40,96;151;47,05;120;29,97;151;41,45;153;51;142;35,35;143;Afrique;Sudan;Soudan;Sudán;السودان;سودان;2022;159;8

TJK;40,26;152;33,79;164;29,85;152;48,68;139;46;154;42,96;132;Europe - Asie centrale;Tajikistan;Tadjikistan;Tayikistán;طاجيكستان;تاجیکستان;2022;162;10

BLR;39,62;153;32,93;169;48,75;59;37,23;158;60,33;118;18,85;164;Europe - Asie centrale;Belarus;Bélarus;Belarús;روسيا البيضاء;روسیه سفید;2022;158;5

AZE;39,4;154;37,66;155;23,76;167;48,25;140;58,86;124;28,48;155;Europe - Asie centrale;Azerbaijan;Azerbaïdjan;Azerbaiyán;أذربيجان;آذربایجان;2022;167;13

RUS;38,82;155;36,36;158;34,84;131;44,61;146;51,29;141;27;157;Europe - Asie centrale;Russian Federation;Russie;Rusia;روسيا;روسیه;2022;150;-5

AFG;38,27;156;44,65;132;43,88;82;42,54;152;43,33;161;16,96;171;Asie-Pacifique;Afghanistan;Afghanistan;Afganistán;أفغانستان;افغانستان;2022;122;-34

PAK;37,99;157;39,57;152;31,92;143;53,26;131;47,43;152;17,75;168;Asie-Pacifique;Pakistan;Pakistan;Pakistán;باكستان;پاکستان;2022;145;-12

